quantity,ski
2,slalom:125
2,carving:155
3,race:165
3,slalom:150
2,gigant:130
4,slalom:150
2,race:125
2,allmountain:170
5,allmountain:145
5,carving:120
1,gigant:140
5,race:175
4,slalom:175
2,gigant:130
3,gigant:140
2,carving:155
4,carving:170
3,allmountain:130
4,gigant:165
4,gigant:165
1,gigant:130
2,slalom:125
5,slalom:120
1,allmountain:130
2,gigant:160
2,gigant:160
2,race:170
1,allmountain:125
2,carving:130
2,carving:155
1,slalom:145
5,race:130
4,allmountain:135
1,race:145
2,gigant:140
2,allmountain:125
1,slalom:170
3,allmountain:135
2,race:120
5,race:175
2,race:125
2,race:160
3,race:170
2,carving:170
4,allmountain:155
3,allmountain:125
4,allmountain:120
3,race:125
2,slalom:150
3,allmountain:135
3,allmountain:165
3,race:130
1,carving:135
4,carving:170
1,gigant:165
2,carving:160
5,gigant:165
2,carving:170
3,allmountain:135
4,allmountain:130
4,carving:165
1,carving:165
4,carving:165
2,gigant:155
5,allmountain:160
1,carving:175
1,gigant:145
5,slalom:140
3,slalom:155
3,slalom:155
2,slalom:165
4,slalom:155
1,slalom:160
1,allmountain:165
5,allmountain:150
4,slalom:160
2,gigant:135
2,slalom:170
5,carving:175
4,race:135
2,allmountain:160
4,allmountain:165
1,allmountain:125
2,slalom:125
2,race:120
2,gigant:160
3,allmountain:155
5,gigant:165
1,gigant:130
1,slalom:135
5,allmountain:175
4,slalom:135
4,gigant:135
3,carving:175
2,allmountain:125
5,carving:140
5,race:170
3,allmountain:155
4,slalom:140
2,race:130
